"Golden Mantle",黄金战甲
"Soldier Gloves",战士手套
"Legion Gloves",军团手套
"Crusader Gloves",圣战手套
"Bone Helmet",唤骨头盔
"Golden Visage",金色面具
"Leather Cap",皮帽
"Lion Pelt",狮首皮盔
Tricorne,三角帽
"Leather Hood",革兜
"Wolf Pelt",狼首皮盔
"Hunter Hood",猎者之兜
"Noble Tricorne",贵族三角帽
"Ursine Pelt",熊首皮盔
"Silken Hood",绸缎之兜
"Sinner Tricorne",罪者之帽
"Scare Mask",幽惧之面
"Vaal Mask",瓦尔之面
"Deicide Mask",弑神之面
"Plague Mask",疫灾之面
"Iron Mask",铁锻之面
"Festival Mask",节庆之面
"Golden Mask",黄金之面
"Raven Mask",祸鸦之面
"Callous Mask",无情之面
"Regicide Mask",弑君之面
"Harlequin Mask",鹰喙之面
"Vine Circlet",藤蔓之冠
"Mind Cage",灵能之笼
"Hubris Circlet",灵主之环
"Iron Circlet",铁锻之冠
"Torture Cage",刑罚头笼
"Tribal Circlet",祭仪之冠
"Bone Circlet",灵骨之冠
"Lunaris Circlet",月影之冠
"Steel Circlet",冷钢之冠
"Necromancer Circlet",操灵者之冠
"Solaris Circlet",日耀之冠
"Iron Hat",粗铁盔
"Royal Burgonet",皇室坚盔
"Eternal Burgonet",永恒坚盔
"Cone Helmet",锥顶盔
"Barbute Helmet",轻骑盔
"Close Helmet",护面盔
"Gladiator Helmet",角斗者之盔
"Reaver Helmet",掠夺者之盔
"Siege Helmet",破城之盔
"Samite Helmet",绣领之盔
"Ezomyte Burgonet",艾兹麦坚盔
"Battered Helm",残破之盔
"Nightmare Bascinet",梦魇战盔
Sallet,轻铁护盔
"Visored Sallet",清视护盔
"Gilded Sallet",金面护盔
"Secutor Helm",精兵之盔
"Fencer Helm",击剑士之盔
"Lacquered Helmet",漆彩之盔
"Fluted Bascinet",全罩战盔
"Pig-Faced Bascinet",猪面头盔
"Rusted Coif",锈铁链盔
"Praetor Crown",领主战冠
"Soldier Helmet",士兵之盔
"Great Helmet",巨盔
"Crusader Helmet",圣战之盔
"Aventail Helmet",战意之盔
"Zealot Helmet",热战之盔
"Great Crown",强化巨盔
"Magistrate Crown",行政者战冠
"Prophet Crown",箴言战冠
"Golden Wreath",金黄花环
"Golden Flame",黄金圣炎
"Goathide Buckler",羊皮轻盾
"Battle Buckler",斗者轻盾
"Golden Buckler",金阳轻盾
"Ironwood Buckler",钢木轻盾
"Lacquered Buckler",漆彩轻盾
"Vaal Buckler",瓦尔轻盾
"Crusader Buckler",圣战轻盾
"Imperial Buckler",帝国轻盾
"Pine Buckler",松木轻盾
"Painted Buckler",彩绘轻盾
"Hammered Buckler",铆钉轻盾
"War Buckler",战争轻盾
"Gilded Buckler",金面轻盾
"Oak Buckler",橡木轻盾
"Enameled Buckler",釉彩轻盾
"Corrugated Buckler",波纹轻盾
"Spiked Bundle",尖木刺盾
"Alder Spiked Shield",桤木刺盾
"Ezomyte Spiked Shield",艾兹麦刺盾
"Mirrored Spiked Shield",钢镜刺盾
"Supreme Spiked Shield",霸者刺盾
"Driftwood Spiked Shield",朽木刺盾
"Alloyed Spiked Shield",合金刺盾
"Burnished Spiked Shield",冷芒刺盾
"Ornate Spiked Shield",华丽刺盾
"Redwood Spiked Shield",红木刺盾
"Compound Spiked Shield",复合刺盾
"Polished Spiked Shield",光辉刺盾
"Sovereign Spiked Shield",王权刺盾
"Twig Spirit Shield",残枝魔盾
"Chiming Spirit Shield",魂相魔盾
"Thorium Spirit Shield",暗金魔盾
"Lacewood Spirit Shield",软橡魔盾
"Fossilised Spirit Shield",石化魔盾
"Vaal Spirit Shield",瓦尔魔盾
"Harmonic Spirit Shield",和谐魔盾
"Titanium Spirit Shield",巨人魔盾
"Yew Spirit Shield",紫衫魔盾
"Bone Spirit Shield",骨制魔盾
"Tarnished Spirit Shield",环形魔盾
"Jingling Spirit Shield",灵相魔盾
"Brass Spirit Shield",铜锻魔盾
"Walnut Spirit Shield",桃木魔盾
"Ivory Spirit Shield",象牙魔盾
"Ancient Spirit Shield",远古魔盾
"Splintered Tower Shield",朽木塔盾
"Bronze Tower Shield",青铜塔盾
"Girded Tower Shield",征战塔盾
"Crested Tower Shield",荣冠塔盾
"Shagreen Tower Shield",粗革塔盾
"Ebony Tower Shield",乌木塔盾
"Ezomyte Tower Shield",艾兹麦塔盾
"Colossal Tower Shield",巨型塔盾
"Pinnacle Tower Shield",坚毅塔盾
"Corroded Tower Shield",斑驳塔盾
"Rawhide Tower Shield",生皮塔盾
"Cedar Tower Shield",松木塔盾
"Copper Tower Shield",铜锻塔盾
"Reinforced Tower Shield",强化塔盾
"Painted Tower Shield",彩绘塔盾
"Buckskin Tower Shield",鹿皮塔盾
"Mahogany Tower Shield",桃木塔盾
"Rotted Round Shield",朽木圆盾
"Teak Round Shield",柚木圆盾
"Spiny Round Shield",棘刺圆盾
"Cardinal Round Shield",祭者圆盾
"Elegant Round Shield",权贵圆盾
"Fir Round Shield",杉木圆盾
"Studded Round Shield",铆钉圆盾
"Scarlet Round Shield",炽红圆盾
"Splendid Round Shield",光辉圆盾
"Maple Round Shield",枫木圆盾
"Spiked Round Shield",尖刺圆盾
"Crimson Round Shield",绯红圆盾
"Baroque Round Shield",古代圆盾
"Plank Kite Shield",朽木鸢盾
"Branded Kite Shield",圣记鸢盾
"Champion Kite Shield",斗士鸢盾
"Mosaic Kite Shield",厚装鸢盾
"Archon Kite Shield",威能鸢盾
"Linden Kite Shield",椴木鸢盾
"Reinforced Kite Shield",强化鸢盾
"Layered Kite Shield",层板鸢盾
"Ceremonial Kite Shield",祭仪鸢盾
"Etched Kite Shield",刻文鸢盾
"Steel Kite Shield",冷钢鸢盾
"Laminated Kite Shield",合板鸢盾
"Angelic Kite Shield",天使鸢盾
"Cured Quiver",火焰箭袋
"Fire Arrow Quiver",火灵箭袋
"Broadhead Arrow Quiver",宽矢箭袋
"Penetrating Arrow Quiver",穿射箭袋
"Spike-Point Arrow Quiver",刺锋箭袋
"Ornate Quiver",华美箭袋
"Rugged Quiver",冰晶箭袋
"Conductive Quiver",电光箭袋
"Heavy Quiver",重矢箭袋
"Light Quiver",轻巧箭袋
"Serrated Arrow Quiver",锯齿箭袋
"Two-Point Arrow Quiver",双锋箭袋
"Sharktooth Arrow Quiver",鲨齿箭袋
"Blunt Arrow Quiver",钝矢箭袋
"Taxing Gauntlets",沉重手甲
"Gruelling Gauntlets",磨人手甲
"Debilitation Gauntlets",衰弱手甲
"Gauche Gloves",笨重手套
"Southswing Gloves",南风手套
"Sinistral Gloves",左旋手套
"Leyline Gloves",雷线手套
"Aetherwind Gloves",灵风手套
"Nexus Gloves",枢纽手套
"Basemetal Treads",劣金之履
"Darksteel Treads",乌钢之履
"Brimstone Treads",踏烟之履
"Kaom's Greaves",冈姆胫甲
"Cloudwhisper Boots",唤云之靴
"Windbreak Boots",破风之靴
"Stormrider Boots",御风之靴
"Duskwalk Slippers",踏暮之鞋
"Nightwind Slippers",夜风之鞋
"Dreamquest Slippers",探梦之鞋
"Avian Slippers",飞羽便鞋
"Kaom's Plate",冈姆的重铠
"Samnite Helmet",萨姆尼盔
"Sorrow Mask",悲伤面具
"Atonement Mask",赎罪面具
"Penitent Mask",忏悔面具
"Imp Crown",小鬼之冠
"Demon Crown",恶魔之冠
"Archdemon Crown",大恶魔之冠
"Gale Crown",飓风之冠
"Winter Crown",寒冬之冠
"Blizzard Crown",暴雪之冠
"Apothecary's Gloves",药剂师手套
"Runic Gloves",符文手套
"Runic Gages",符文笼手
"Runic Gauntlets",符文手甲
"Fugitive Boots",逃亡之靴
"Runic Greaves",符文胫甲
"Runic Sollerets",符文护腿
"Runic Sabatons",符文战靴
"Grasping Mail",扼杀链甲
"Runic Helm",符文头盔
"Runic Crest",符文之冠
"Runic Crown",符文王冠
"Ambu's Charge",安姆布的战甲
Ashrend,拂烬
"Belly of the Beast",兽腹
Bramblejack,刺棘宝甲
Briskwrap,荒途
"Bronn's Lithe",布隆的影衣
"Carcass Jack",致命之体
"Cloak of Flame",烈炎之袍
"Cloak of Defiance",卫道之袍
"The Covenant",血誓
"Daresso's Defiance",德瑞索的卫衣
"Death's Oath",冥使之体
Foxshade,狐毛铠
"Hyrri's Ire",西里的战衣
Icetomb,冰息
"Incandescent Heart",烈炎之心
"Infernal Mantle",炼狱之心
"Kaom's Heart",冈姆的壮志
"Lightbane Raiment",魔道之衣
"Lightning Coil",雷语
"Queen of the Forest",森林之后
"Shavronne's Wrappings",薛朗的护身长袍
"Solaris Lorica",烈阳铠
"Soul Mantle",祖灵之约
"Tabula Rasa",无尽之衣
"Thousand Ribbons",千缎
"Vis Mortis",兀鸣
"Voll's Protector",福尔的战铠
"Zahndethus' Cassock",札德图斯的圣衣
"Alberon's Warpath",阿尔贝隆的征途
"Atziri's Step",阿兹里的金履
"The Blood Dance",血影
"Bones of Ullr",灵骸之履
"Darkray Vectors",暗雷
Deerstalker,猎踪
"Demigod's Stride",升华之途
Dusktoe,迎暮
Goldwyrm,龙炎足迹
"Lioneye's Paws",狮眼的斗志
"Victario's Flight",维多里奥的飞升
Rainbowstride,虹幕
"Shavronne's Pace",薛朗的秘术长靴
"Sin Trek",敏锐思维
Sundance,日耀
"Wake of Destruction",覆灭之兆
Wanderlust,苦行之履
Windscream,恶风足迹
Wondertrap,回光之迹
"Asenath's Gentle Touch",安赛娜丝的安抚之语
"Atziri's Acuity",阿兹里的捷思
Aurseize,富贵之运
"Demigod's Touch",升华之指
"Meginord's Vise",梅吉诺德的巨力腕甲
"Doedre's Tenure",德瑞的精神手套
Facebreaker,毁面者
Voidbringer,虚空之力
Hrimsorrow,冰冷之眼
"Lochtonial Caress",意识之缘
"Maligaro's Virtuosity",马雷格罗的玫红手套
"Ondar's Clasp",恩德的迅影
"Sadima's Touch",猎宝者的护手
"Shackles of the Wretched",悲运之缚
Slitherpinch,苍蟒之鳞
Snakebite,蝮吻
Thunderfist,轰天雷
"Vaal Caress",瓦尔的灵手
Abyssus,深渊之唤
"Alpha's Howl",极地之眼
"Asenath's Mark",安赛娜丝的迅敏之冠
"The Bringer of Rain",祭礼之雨
"Chitus' Apex",切特斯的威权
"Crown of Eyes",邪眼之冠
"Crown of Thorns",刺棘之冠
Deidbell,丧钟
"Demigod's Triumph",升华之冠
"Devoto's Devotion",德沃托的信念之盔
"Ezomyte Peak",艾兹麦的荣光
"Fairgraves' Tricorne",费尔之帽
"Geofri's Crest",吉尔菲的荣光
Goldrim,金缕帽
"The Gull",鸥喙
Heatshiver,寒焰
Honourhome,私欲的光辉
"Hrimnor's Resolve",雷姆诺的豪情
"Leer Cast",共鸣之面
"Malachai's Simula",玛拉凯的祭具
Mindspiral,灵漩
"The Peregrine",疾风的沉思
"Rat's Nest",鼠巢
"Rime Gaze",酷寒的凝视
Skullhead,光辉之颅
"Starkonja's Head",斯塔空加之首
"The Three Dragons",三龙战纪
"Veil of the Night",夜幕
"The Vertex",谜容
"Atziri's Splendour",阿兹里的威权
"Kaom's Roots",冈姆的稳重之靴
"Flesh and Spirit",肉体与魂灵
"Shadows and Dust",沙尘之影
"Gang's Momentum",刚勇
"Cherrubim's Maleficence",薛鲁宾的恶作剧
"Null and Void",虚空
"Nomic's Storm",诺米克的风暴
"Scold's Bridle",禁语
"The Broken Crown",缺角帝冠
"The Rat Cage",疫鼠囚笼
"Greed's Embrace",贪婪之拥
"Tear of Entropy",乱世之泪
"Black Sun Crest",黑阳之冠
"Empire's Grasp",帝国之掌
"Lioneye's Vision",狮眼的视线
"Doedre's Scorn",德瑞的蔑视
Southbound,南方
"The Restless Ward",无尽之卫
Repentance,悔悟之掌
Kingsguard,皇家卫甲
Ironweld,铁芒
Ghostmarch,鬼行
"Deadman's Hand",枯萎之手
"Vizaru's Folly",维札卢的不堪往事
"Kalisa's Grace",卡莉莎的优雅之影
"Arimagius' Honor",志士的荣耀之心
Wurmfist,崩石
"Dewath's Hide",德瓦斯的匿踪
"Doryani's Fist",多里亚尼之拳
"Crown of the Pale King",殒皇之冠
Surgebinders,浪涌缚者
"Victario's Influence",维多里奥之绝响
"Brinerot Whalers",布琳洛特岸行者
"Mutewind Whispersteps",哑风轻步
"Redblade Tramplers",红刃蹂躏靴
"Ylfeban's Trickery",伊芙班的诡计
"Steppan Eard",绝地魔履
"Winds of Change",升华之风
Skyforth,空向
"Demigod's Dominance",升华统御
Wyrmsign,龙族印记
"Geofri's Sanctuary",吉尔菲的圣殿
"Seven-League Step",神行靴
"Heretic's Veil",异教面纱
"Viper's Scales",毒蛇之度
"The Beast Fur Shawl",兽毛披肩
"Cloak of Tawm'r Isley",塔温的披风
"Veruso's Battering Rams",陨落之环
"Three-step Assault",强袭者
"Cospri's Will",卡斯普里意志
"Wall of Brambles",荆棘之墙
Kintsugi,金珏之缮
"Shavronne's Gambit",薛朗的诡计
"Ezomyte Hold",艾兹麦之握
Deidbellow,丧吼
"Martyr's Crown",烈士之冠
Hrimburn,李姆本
"Death's Door",死亡大门
"Grip of the Council",议会之握
"Mind of the Council",智者之秘
Spiritskin,精灵皮肤
Tinkerskin,钟表匠的华服
Rumblemarch,不羁之行
"The Brass Dome",巨铜之顶
"Kitava's Thirst",奇塔弗之渴望
Obscurantis,厌食者
Voidwalker,虚空行者
"Shaper's Touch",塑界之触
"The Formless Flame",无形火炬
"The Formless Inferno",无形炼狱
"Voll's Vision",福尔的远见
"The Infinite Pursuit",无尽之距
"The Red Trail",赤红踪迹
"Malachai's Vision",玛拉凯的远见
"The Snowblind Grace",雪盲恩惠
"The Perfect Form",完美姿态
"Skin of the Loyal",忠诚之肤
"Skin of the Lords",君主之肤
"The Brine Crown",海王冠冕
"Gruthkul's Pelt",欺诈獠牙
"Abberath's Hooves",地动
"Garukhan's Flight",盖卢坎的飞升
"The Baron",男爵
Haemophilia,血友病
"Ahn's Contempt",汉恩的蔑视
"Prospero's Vault",普洛斯彼罗的宝库
"Speaker's Wreath",众生指引
"Inya's Epiphany",茵雅的启蒙
"Volkuur's Guidance",福库尔的手
"The Coming Calamity",灵魂甲胄
"Eber's Unification",希伯的霸权
"Yriel's Fostering",伊瑞的精通
"The Tempest's Binding",风暴拘束
Dendrobate,箭丽毒蛙
Allelopathy,相生相克
"The Embalmer",入殓师
"Dialla's Malefaction",无悔之爱
"Malachai's Mark",马拉凯之记
Stormcharger,风暴骑士
Wraithlord,幽冥灵王
Giantsbane,巨灵灾星
"Inpulsa's Broken Heart",速度之力
"Memory Vault",记忆囚笼
"Doedre's Skin",德瑞之肤
"Ralakesh's Impatience",拉克斯的渴望
"Bubonic Trail",鼠疫之源
Oskarm,欧斯卡姆
Bloodbond,血脉相连
"Blasphemer's Grasp",亵渎者之握
Lightpoacher,光明偷猎者
Tombfist,陵拳
"Shroud of the Lightless",泯光寿衣
"Craiceann's Chitin",深海魔角
"Craiceann's Pincers",深海魔钳
"Craiceann's Tracks",深海魔足
"Craiceann's Carapace",深海魔甲
Greedtrap,贪欲之诱
"Fox's Fortune",狐运强铠
"Gorgon's Gaze",葛尔贡的凝视
"Doedre's Malevolence",德瑞的恶念
"Farrul's Fur",大地之护
"Fenumus' Shroud",暗夜弑衣
"Saqawal's Winds",苍空之翼
Windshriek,风哮
Indigon,靛蓝之冠
"Farrul's Bite",大地之牙
"Farrul's Pounce",大地之握
"Farrul's Chase",大地之痕
"Saqawal's Nest",苍空之巢
"Saqawal's Talons",苍空之爪
"Saqawal's Flock",苍空之翎
"Fenumus' Toxins",暗夜毒牙
"Fenumus' Weave",暗夜织礼
"Fenumus' Spinnerets",暗夜刺足
"Chains of Command",将军的复生
"Mark of the Red Covenant",红契符印
Loreweave,满溢之甲
Sunspite,日怨
Wildwrap,荒野之绕
"Crystal Vault",水晶墓穴
Frostferno,冰狱
"Malachai's Awakening",玛拉凯之觉醒
Duskblight,幽暗凋零
"Asenath's Chant",安赛娜丝的优雅之歌
"Meginord's Vigour",梅吉诺德的活力
Honourhold,荣耀之持
"Mask of the Spirit Drinker",饮魂者面罩
"Slavedriver's Hand",奴隶贩子之手
"Mask of the Stitched Demon",缝合恶魔面罩
"Dance of the Offered",献祭舞鞋
Omeyocan,至高天堂
"Architect's Hand",建筑师之手
Shadowstitch,暗影缝合
"Command of the Pit",巨坑之令
"Crown of the Tyrant",暴君王冠
"Demon Stitcher",恶魔缝补者
"Doryani's Delusion",多利亚尼的幻想
"Geofri's Legacy",吉尔菲的遗产
"Curtain Call",夜幕召唤
"The Iron Fortress",钢铁要塞
"Hale Negator",强健否决者
Lawbreaker,违法之徒
"Ullr's Advent",乌尔的现身
Worldcarver,世界雕刻者
"The Devouring Diadem",吞噬者王冠
Flamesight,卓识
"The Queen's Hunger",女王的饥饿
Farsight,远见
Galesight,灰眼
Thundersight,雷目
Waycarver,辟路者
"Storm's Gift",风暴赐福
"The Eternity Shroud",永恒幽影
"Vixen's Entrapment",刁妇的圈套
"Mask of the Tribunal",裁决面罩
"March of the Legion",军团的进击
"Offering to the Serpent",暴君之握
"Garb of the Ephemeral",无常法袍
"Demigod's Immortality",半神的不朽
"Aukuna's Will",奥库娜的意志
"Maw of Conquest",征服之口
"Wreath of Phrecia",费西亚的花环
"Fractal Thoughts",分形思维
"The Stampede",溃败
"Triad Grip",三重扣
"Machina Mitts",马奇纳护手
"Torchoak Step",火柳胫甲
"Cowl of the Cryophile",嗜寒之冠
"Rotting Legion",腐朽军团
"Cowl of the Thermophile",嗜火之冠
"Cowl of the Ceraunophile",嗜雷之冠
Breathstealer,扼息者
Sporeguard,孢囊守卫
"Hands of the High Templar",神主之手
"Crown of the Inward Eye",内省之冠
"The Ivory Tower",象牙之塔
Painseeker,苦难探寻者
"Eye of Malice",怨恨之眼
Perfidy,背信弃义
"Algor Mortis",尸僵
Assailum,千里狙敌
"Beacon of Madness",疯狂的象征
Battlehaste,迅战
"Doryani's Prototype",多里亚尼的试作甲
"Abhorrent Interrogation",水火不容
"Great Old One's Tentacles",伟大旧神之触手
Fleshcrafter,塑血巨匠
"The Tempest's Liberation",风雪释放
"Forbidden Shako",禁断的军帽
"Plume of Pursuit",追逐之羽
"Usurper's Penance",篡夺者的救赎
Corpsewalker,灵盒行者
"Replica Lioneye's Paws",狮眼的斗志【仿品】
"Replica Abyssus",深渊之唤【仿品】
"Replica Atziri's Acuity",阿兹里的捷思【仿品】
"Replica Kalisa's Grace",卡莉莎的优雅之影【仿品】
"Replica Ambu's Charge",安姆布的战甲【仿品】
"Replica Shroud of the Lightless",泯光寿衣【仿品】
"Maw of Mischief",害人之口
"Replica Kaom's Heart",冈姆的壮志【仿品】
"Expedition's End",远征尽头
"Replica Perfect Form",完美姿态【仿品】
"Replica Loreweave",满溢之甲【仿品】
"Replica Three-step Assault",强袭者【仿品】
"Replica Allelopathy",相生相克【仿品】
"Replica Alpha's Howl",极地之眼【仿品】
"Replica Forbidden Shako",禁断的军帽【仿品】
"Replica Restless Ward",无尽之卫【仿品】
"Replica Farrul's Fur",大地之护【仿品】
"Replica Eternity Shroud",永恒幽影【仿品】
"Replica Alberon's Warpath",阿尔贝隆的征途【仿品】
"Replica Stampede",溃败【仿品】
"Replica Voidwalker",虚空行者【仿品】
"Replica Grip of the Council",议会之握【仿品】
"Replica Volkuur's Guidance",福库尔的手【仿品】
"Replica Leer Cast",共鸣之面【仿品】
Willclash,意志交锋
"Replica Red Trail",赤红踪迹【仿品】
"Replica Bones of Ullr",灵骸之履【仿品】
"Replica Inya's Epiphany",茵雅的启蒙【仿品】
"Replica Veil of the Night",夜幕【仿品】
"Mercenary's Lot",佣兵领地
Blunderbore,蹒跚巨兽
"The Admiral",海军上将
"Crest of Desire",渴望之冠
"The Fledgling",雏鸟
"Legacy of Fury",愤恨遗产
"Hand of the Fervent",热诚之手
"Ancient Skull",上古之颅
"Viridi's Veil",维里迪的面纱
"Doppelgänger Guise",变形者外衣
"Glimpse of Chaos",混沌一瞥
Hateforge,仇恨熔炉
"Temptation Step",诱惑阶梯
Faithguard,信仰守卫
"Cadigan's Crown",卡迪甘王冠
Nightgrip,暗夜之握
"Medved's Challenge",梅德维德的挑战
"Vorana's March",沃拉娜的征途
"Olroth's Charge",欧罗什的指控
"Stasis Prison",禁锢监狱
Gravebind,坟场之链
"Sudden Dawn",曙光骤现
"Ceaseless Feast",无尽盛宴
"Inextricable Fate",宿命
"Black Zenith",漆黑天顶
"Echoes of Creation",创造回声
"Kaom's Spirit",冈姆的精神
"Soul Ascension",灵魂飞升
Ghostwrithe,代笔人
Thrillsteel,惊险刺激
