"Nailed Fist",拳钉
Tenderizer,裂肉之锤
Gavel,坚锤
"Legion Hammer",军团之锤
"Tribal Club",祭仪之杵
Pernarch,锋刃重锤
"Auric Mace",圣约之锤
"Nightmare Mace",梦魇之锤
"Spiked Club",钝钉木棒
"Stone Hammer",石锤
"War Hammer",战锤
"Bladed Mace",多刃锤
"Ceremonial Mace",祭礼之锤
"Dream Mace",梦境之锤
"Petrified Club",坚石木棒
"Wyrm Mace",古龙之锤
"Dragon Mace",龙之锤
"Behemoth Mace",巴哈姆特
"Driftwood Sceptre",朽木短杖
Sekhem,威能短杖
"Crystal Sceptre",水晶短杖
"Lead Sceptre",铅铸短杖
"Blood Sceptre",血色短杖
"Royal Sceptre",皇家短杖
"Abyssal Sceptre",深渊短杖
"Karui Sceptre",卡鲁短杖
"Tyrant's Sekhem",暴君之统
"Opal Sceptre",灵石短杖
"Platinum Sceptre",白金短杖
"Darkwood Sceptre",乌木短杖
"Vaal Sceptre",瓦尔短杖
"Carnal Sceptre",禁礼短杖
"Void Sceptre",虚影短杖
"Bronze Sceptre",铜锻短杖
"Quartz Sceptre",石英短杖
"Iron Sceptre",冷铁短杖
"Ochre Sceptre",赤色短杖
"Ritual Sceptre",祭仪短杖
"Shadow Sceptre",影语短杖
"Grinning Fetish",远古之祭
"Horned Sceptre",犄角短杖
"Stag Sceptre",灵鹿短杖
"Sambar Sceptre",恶魔短杖
"Rusted Sword",锈剑
Cutlass,军用长刃
Baselard,冷光长剑
"Battle Sword",士兵长剑
"Elder Sword",智者长剑
"Graceful Sword",权贵之剑
"Twilight Blade",暮光长剑
"Gemstone Sword",宝石之剑
"Corsair Sword",海贼长刀
Gladius,斗士长剑
"Legion Sword",军团长剑
"Copper Sword",青铜短剑
"Vaal Blade",瓦尔军刃
"Eternal Sword",永恒之剑
"Midnight Blade",夜语长剑
Sabre,旧军刀
"Broad Sword",阔剑
"War Sword",征战之剑
"Ancient Sword",远古之剑
"Elegant Sword",贵族之剑
"Dusk Blade",暮色之刃
"Variscite Blade",碧铜短剑
"Charan's Sword",查兰之剑
"Hook Sword",钩爪剑
Grappler,捕捉者
"Tiger Hook",虎钩
"Rusted Spike",锈刺剑
"Burnished Foil",冷芒刺剑
Estoc,穿甲刺剑
"Serrated Foil",锯齿细剑
"Primeval Rapier",古典刺剑
"Fancy Foil",华丽细剑
"Apex Rapier",锐锋细剑
"Dragonbone Rapier",龙骨细剑
"Tempered Foil",强化细剑
Pecoraro,寒光刺剑
"Spiraled Foil",螺纹细剑
"Whalebone Rapier",鲸骨细刃
"Vaal Rapier",瓦尔细剑
"Jewelled Foil",宝饰细剑
"Harpy Rapier",魔喙细剑
"Battered Foil",钝刃细剑
"Basket Rapier",练武者细剑
"Jagged Foil",锯状薄刃
"Antique Rapier",古代细剑
"Elegant Foil",贵族细剑
"Thorn Rapier",棘刺细剑
"Wyrmbone Rapier",龙骨细剑
Smallsword,小剑
"Courtesan Sword",花魁之剑
"Dragoon Sword",骑兵军刀
"Driftwood Wand","朽木法杖 "
"Serpent Wand",蛇眼法杖
"Omen Wand",灵兆法杖
"Demon's Horn",魔角法杖
"Imbued Wand",魔性法杖
"Opal Wand",灵石法杖
"Tornado Wand",狂风法杖
"Prophecy Wand",箴言法杖
"Goat's Horn",羊角法杖
"Carved Wand",粗纹法杖
"Quartz Wand",石英法杖
"Spiraled Wand",螺纹法杖
"Sage Wand",贤者法杖
"Faun's Horn",兽角法杖
"Engraved Wand",符文法杖
"Crystal Wand",水晶法杖
"Convoking Wand",召集法杖
"Pagan Wand",异教法杖
"Heathen Wand",异徒法杖
"Profane Wand",亵渎法杖
"Fishing Rod",鱼竿
"Crude Bow",粗制弓
"Decurve Bow",直弓
"Compound Bow",复合弓
"Sniper Bow",狙击弓
"Ivory Bow",象牙弓
"Highborn Bow",贵族之弓
"Decimation Bow",猎魂之弓
"Thicket Bow",林野猎弓
"Citadel Bow",城塞战弓
"Ranger Bow",游侠弓
"Assassin Bow",暗影弓
"Short Bow",短弓
"Spine Bow",脊弓
"Imperial Bow",帝国之弓
"Harbinger Bow",先驱者之弓
"Long Bow",长弓
"Composite Bow",合成弓
"Recurve Bow",反曲弓
"Bone Bow",骨制弓
"Royal Bow",皇家猎弓
"Death Bow",死亡之弓
"Grove Bow",丛林猎弓
"Reflex Bow",反射弓
"Steelwood Bow",钢木之弓
"Maraketh Bow",马拉克斯弓
"Gnarled Branch",朽木之干
"Military Staff",军用长杖
"Serpentine Staff",蛇纹长杖
"Highborn Staff",贵族长杖
"Foul Staff",恶灵长杖
"Primordial Staff",史典长杖
Lathi,武术长杖
"Ezomyte Staff",艾兹麦长杖
"Maelström Staff",风暴长杖
"Imperial Staff",帝国长杖
"Judgement Staff",审判长杖
"Primitive Staff",粗制长杖
"Long Staff",长杖
"Iron Staff",铁锻长杖
"Coiled Staff",强化长杖
"Royal Staff",皇家长杖
"Vile Staff",毒牙长杖
"Woodful Staff",坚木长杖
Quarterstaff,细柄长杖
"Crescent Staff",新月长杖
"Moon Staff",月神长杖
"Eclipse Staff",月蚀长杖
"Stone Axe",石斧
"Headsman Axe",行刑巨斧
Labrys,双影巨斧
"Noble Axe",权贵巨斧
"Abyssal Axe",深渊巨斧
"Karui Chopper",卡鲁巨斧
"Sundering Axe",裂甲巨斧
"Ezomyte Axe",艾兹麦巨斧
"Vaal Axe",瓦尔巨斧
"Despot Axe",霸主巨斧
"Void Axe",虚影巨斧
"Jade Chopper",碎玉大斧
Woodsplitter,柴斧
Poleaxe,巨战斧
"Double Axe",双刃巨斧
"Gilded Axe",金柄之斧
"Shadow Axe",幽影巨斧
"Jasper Chopper",灵玉巨斧
"Timber Axe",裂木巨斧
"Dagger Axe",匕斧
"Talon Axe",猛禽爪斧
Fleshripper,裂肉者
"Driftwood Maul",朽木巨锤
Steelhead,沉钢重锤
"Spiny Maul",凶刺巨锤
"Plated Maul",华丽重锤
"Dread Maul",威权巨锤
"Karui Maul",卡鲁重锤
"Colossus Mallet",巨型重锤
Piledriver,扫荡者
Meatgrinder,戮魂重锤
"Imperial Maul",帝国重锤
"Terror Maul",惧灵重锤
"Tribal Maul",祭仪巨锤
Mallet,千斤锤
Sledgehammer,冷铁重锤
"Jagged Maul",狼牙重锤
"Brass Maul",铜影巨锤
"Fright Maul",恐惧重锤
"Totemic Maul",图腾巨锤
"Great Mallet",刚猛巨锤
"Morning Star",晨星
"Solar Maul",日光锤
"Coronal Maul",花冠重锤
"Corroded Blade",锈斑巨剑
"Highland Blade",高山重刃
"Engraved Greatsword",符文巨剑
"Tiger Sword",虎牙巨剑
"Wraith Sword",凶灵巨剑
"Headman's Sword",行刑巨剑
"Reaver Sword",残暴巨剑
"Ezomyte Blade",艾兹麦巨剑
"Vaal Greatsword",瓦尔巨剑
"Lion Sword",狮爪巨剑
"Infernal Sword",狱炎重剑
Longsword,大剑
"Bastard Sword",重剑
"Two-Handed Sword",双手剑
"Etched Greatsword",术雕巨剑
"Ornate Sword",名贵巨剑
"Spectral Sword",幽魂巨剑
"Butcher Sword",冷血巨剑
"Footman Sword",士兵巨剑
"Curved Blade",弯刃
"Lithe Blade",细刃
"Exquisite Blade",精致之刃
"Shadow Fangs",暗影之牙
"Malign Fangs",恶毒之牙
"Void Fangs",虚空之牙
"Hollowpoint Dagger",折叠匕首
"Pressurised Dagger",冲压匕首
"Pneumatic Dagger",气动匕首
"Ethereal Blade",虚空飞刃
"Assembler Wand",装配法杖
"Congregator Wand",集合法杖
"Accumulator Wand",蓄能法杖
"Golden Blade",金色之刃
"Fickle Spiritblade",无常魂刃
"Capricious Spiritblade",莫测魂刃
"Anarchic Spiritblade",无序魂刃
"Maltreatment Axe",凌虐斧
"Disapprobation Axe",否认斧
"Psychotic Axe",癫狂斧
Pernach,锋刃重锤
"Flare Mace",明亮锤
"Crack Mace",开裂锤
"Boom Mace",风雷锤
"Hedron Bow",多面弓
"Foundry Bow",铸造弓
"Solarine Bow",日裔弓
"Transformer Staff",变形长杖
"Reciprocation Staff",交换长杖
"Battery Staff",蓄能长杖
Keyblade,宝钥之刃
"Rebuking Blade",责难刀
"Blasting Blade",爆破刀
"Banishing Blade",放逐刀
"Prime Cleaver",首要砍刀
"Honed Cleaver",磨利砍刀
"Apex Cleaver",锋锐砍刀
"Blunt Force Condenser",钝击之力凝聚器
"Crushing Force Magnifier",破坏之力放大器
"Impact Force Propagator ",冲击之力扩散器
"Oscillating Sceptre",摇摆短杖
"Stabilising Sceptre",平稳短杖
"Alternating Sceptre",变化短杖
"Flickerflame Blade",火焰刀
"Flashfire Blade",闪火刀
"Infernal Blade",炼狱刀
"Capacity Rod",载荷之杖
"Potentiality Rod",潜力之杖
"Eventuality Rod",潜能之杖
"Energy Blade",能量之刃
"Calling Wand",召唤法杖
"Convening Wand",召集法杖
"Impact Force Propagator",冲击之力扩散器
"The Screaming Eagle",鹰啸
"Soul Taker",开膛斧
Dyadus,龙凤吟
"Chin Sol",乱矢之弦
Darkscorn,夜吟
"Death's Harp",冥使之琴
Infractem,穿云
"Lioneye's Glare",狮眼的战弓
"Quill Rain",骤雨之弦
Silverbranch,幻银之弦
"Storm Cloud",暴雨之弦
"Voltaxic Rift",魔暴之痕
Windripper,裂风
"Al Dhih",鬣犬之牙
Bloodseeker,嗜血之爪
"Cybil's Paw",希比尔的冰爪
"Essentia Sanguis",精华收割器
"Last Resort",终息
"Mortem Morsu",噬魂之牙
"Bino's Kitchen Knife",比诺的厨刀
Divinarius,戒律之影
Heartbreaker,裂心刃
Mightflay,力量猎刃
"Ungil's Gauche",恩吉尔的叉刃
Brightbeak,光耀之锤
"Doon Cuebiyari",黑钢
Mjölner,沉默之雷
"Mon'tregul's Grasp",凋灵魔爪
"Nycta's Lantern",奈可妲之灯
"The Supreme Truth",无上箴言
"Doryani's Catalyst",多里亚尼的幻化之杖
Aurumvorax,灵护
"Ephemeral Edge",影殒
"The Goddess Bound",女神的灵缚
"The Goddess Scorned",女神的怒炎
"Prismatic Eclipse",虹耀之月
"Rebuke of the Vaal",瓦尔战刃
Redbeak,赤红短刃
"Dying Breath",幽魂之息
Fencoil,绿藤
"Pillar of the Caged God",囚神杵
"The Searing Touch",炽炎之使
"Taryn's Shiver",塔林的颤栗之语
Lifesprig,生机之记
"Midnight Bargain",冥约
Moonsorrow,泣月
"Void Battery",潜能魔棒
"Song of the Sirens",海妖魅曲
"Atziri's Disfavour",阿兹里的刑刃
"The Blood Reaper",竭血之镰
"Kaom's Primacy",冈姆的霸业
Limbsplit,断罪
"Reaper's Pursuit",死神的取魂器
Wideswing,阔斩
"Wings of Entropy",乱世之翼
"Chober Chaber",忠诚之锤
"Geofri's Baptism",吉尔菲的净罪之锤
"Hrimnor's Hymn",雷姆诺的夺命凶器
"Kongor's Undying Rage",康戈的战炎
"Marohi Erqi",尔奇的巨灵之锤
Quecholli,重击之锤
Voidhome,逝空之锤
"Oro's Sacrifice",欧罗的贡品
"Queen's Decree",威严之刃
"Rigwald's Charge",瑞佛的奋战长剑
Shiversting,寒光剑
"Terminus Est",行刑之刃
Doomfletch,灭世
"Hyaon's Fury",海昂的狂怒
"Pledge of Hands",誓约
"Piscator's Vigil",皮斯卡托的慧眼
"Edge of Madness",疯狂边界
Dreamfeather,幻梦飞羽
"Apep's Rage",艾普之怒
"Hegemony's Era",霸权时代
"Mark of the Doubting Knight",迷茫幻符
"The Dark Seer",黯黑贤者
"The Harvest",收割者
"Agnerod East",东方雷霆圣杖
"Agnerod North",北方雷霆圣杖
Doomsower,终末之始
"Brutus' Lead Sprinkler",布鲁特斯的刑具
"Reverberation Rod",混响
"The Blood Thorn",血棘
"Blood of Summer",炎夏之血
"Rust of Winter",霜刃
"Ashes of the Sun",烬杵
"Splinter of the Moon",碎月
"Thunder of the Dawn",曙雷
"Vestige of Divinity",庄重之杖
"Fragment of Eternity",亘古之灵
"Relic of the Cycle",轮回之记
"Scar of Fate",命运伤痕
"The Whispering Ice",冰点低语
"The Consuming Dark",蚕食之暗
"Sire of Shards",破碎传承者
"Null's Inclination",虚无之倾
Twyzel,峡湾之星
"Tremor Rod",颤抖之杖
"Relentless Fury",无尽愤怒
Ichimonji,一文字
"Fairgraves' Bearing",费尔之仪
"Fidelitas' Spike",费德利塔斯之锋
"Callinellus Malleus",坚定之刃
Gorebreaker,血裂
"Lavianga's Wisdom",拉维安加的智慧
"Lakishu's Blade",拉奇许之刃
Flesh-Eater,血肉之嗜
"The Stormheart",风暴之眼
"The Princess",女爵
"Moonbender's Wing",月岚
Dreadarc,恐惧之镰
Wildslash,野性狂爪
Realmshaper,创域
"Abberath's Horn",艾贝拉斯之角
Bloodplay,血谑
Goredrill,血凿
Kingmaker,王者之刃
"Death's Hand",死神之手
"The Goddess Unleashed",女神的束缚
"Jack, the Axe",刽子手.杰克
Stormblast,雷暴
"Bartek's Finger",巴特克的魔指
"Boreal Shepherd",牧者之音
"Celestial Fragment",残星
"Leviathan Ivory",神力之牙
"Ornament of the East",东之饰
"Jorrhast's Blacksteel",乔赫黑钢
"Cameria's Maul",卡美利亚之锤
"Agnerod South",南方雷霆圣杖
"Spine of the First Claimant",先驱之脊
"Izaro's Dilemma",伊泽洛之谜
"Chitus' Needle",切特斯之针
Allure,魅惑
"Hezmana's Bloodlust",嗜血黑兹玛娜
"Roth's Reach",萝丝之触
"Femurs of the Saints",圣徒胫骨
Obliteration,抹灭
"Iron Commander",钢铁指挥
"Storm Prison",禁锢暴风
"Eclipse Solaris",宇蚀
Disjunction,分裂析取
Singularity,奇异
Bitterdream,苦梦
"Rigwald's Savagery",野性瑞佛
"Rigwald's Command",瑞佛统帅
"Agnerod West",西方雷霆圣杖
"Advancing Fortress",超越壁垒
"Daresso's Passion",德瑞索的热情
Varunastra,黑鲨
Clayshaper,塑泥者
Rive,裂隙
"Nuro's Harp",努罗的竖琴
Reefbane,灾祸之礁
"Axiom Perpetuum",历史公理
Widowmaker,寡妇
Trypanon,裂颅
Frostbreath,霜息
"The Tempestuous Steel",暴风之钢
"Xirgil's Crank",舍吉的手柄
"The Dancing Dervish",禅意苦行僧
"Touch of Anguish",痛苦之触
Ashcaller,灰烬行者
"Death's Opus",死亡之作
Hiltless,无击
"Doomfletch's Prism",灭世之狱
Silverbough,银枝
"Hrimnor's Dirge",雷姆诺的挽歌
"The Tempest",暴风雨
"Amplification Rod",增幅杖
"Realm Ender",魂界终结
"Queen's Escape",逃亡女王
"The Gryphon",狮鹫
"The Cauteriser",烧灼器
Scaeva,食蚜
"Innsbury Edge",英斯贝理之极
"Breath of the Council",议会之息
"Reach of the Council",议会之触
"Ewar's Mirage",伊沃幻像
"Kondo's Pride",刚多的虚荣
Slivertongue,白银之舌
"Brain Rattler",脑乱者
"Razor of the Seventh Sun",七日锋
"Cospri's Malice",卡斯普里怨恨
"The Scourge",灾害
Starforge,塑星者
Tulfall,托沃卧
"Xoph's Nurture",索伏的爱抚
"Ngamahu's Flame",努葛玛呼之耀
Tulborn,托沃崩
"Shade of Solaris",日耀之影
"Xoph's Inception",索伏的始源
"Hand of Thought and Motion",思动之手
"Hand of Wisdom and Action",智行之手
"Uul-Netol's Kiss",乌尔尼多之吻
"Uul-Netol's Embrace",乌尔尼多的拥抱
"Severed in Sleep",离异梦寐
"United in Dream",合流梦寐
"Arakaali's Fang",阿拉卡力之牙
Duskdawn,宵晓
"Kitava's Feast",奇塔弗之盛宴
Felltooth,崩齿
Tidebreaker,局势逆转者
"Martyr of Innocence",纯净之神的祭品
"Ahn's Might",汉恩的力量
Mordhau,魔器
"Pagan Geis",异宗之镜
"The Enmity Divine",圣恶之喻
"The Rippling Thoughts",秘法君临
"The Wasp Nest",蜂巢涌动
"Debeon's Dirge",战歌
Taproot,砥砺深根
"Borrowed Power",力量借贷
Bloodletter,血书
"Galla's Riposte",加拉的突刺刃
"Cane of Unravelling",阐释之杖
"The Poet's Pen",诗人之笔
Arborix,阿伯瑞斯
"White Wind",白净之风
Vulconus,火神锻台
"Beltimber Blade",芯木腰刀
"Grelwood Shank",韧木曲刃
Augyre,占星
Shimmeron,低伏暗光
Hopeshredder,破灭之希
Nebuloch,尼布洛克
Balefire,苍白烈火
Oni-Goroshi,鬼弑
Panquetzaliztli,巨击之锤
Disintegrator,裂世轮回
"Cameria's Avarice",卡美利亚之贪婪
"The Stormwall",风暴坚壁
"The Dancing Duo",杀孽戒刀
Voidforge,裂空者
Mirebough,魔藤
Dreadbeak,恐惧利刃
Dreadsurge,恐怖巨镰
"Geofri's Devotion",吉尔菲的奉献之锤
"Sanguine Gambol",雀跃
"Corona Solaris",日耀之冠
"Story of the Vaal",瓦尔传说
"Fate of the Vaal",瓦尔命运
"Earendel's Embrace",叶兰德尔的拥抱
"Sinvicta's Mettle",勇气之魄
"The Grey Spire",灰色尖椎
"Cerberus Limb",冥犬残肢
Soulwrest,扭魂者
"Chaber Cairn",石冢
"The Crimson Storm",赤红风暴
Paradoxica,悖论
Nebulis,内布利斯
"Sign of the Sin Eater",罪恶吞噬者的叹息
"Cold Iron Point",寒铁刃
"The Black Cane",漆黑藤杖
"The Saviour",救世者
Stillwater,止水
"The Surging Thoughts",思想奔流
"The Yielding Mortality",死亡屈服
"Witchhunter's Judgment",猎巫人的审判
"Law of the Wilds",荒野之律
"Replica Iron Commander",钢铁指挥【仿品】
Actum,阿克顿
"Replica Bitterdream",苦梦【仿品】
"The Iron Mass",钢铁质量
"Replica Soul Taker",开膛斧【仿品】
"Replica Harvest",收割者【仿品】
"Replica Quill Rain",骤雨之弦【仿品】
"Replica Windripper",裂风【仿品】
"Replica Bloodplay",血谑【仿品】
"Replica Ungil's Gauche",恩吉尔的叉刃【仿品】
"Replica Cold Iron Point",寒铁刃【仿品】
"Replica Paradoxica",悖论【仿品】
"Replica Tempestuous Steel",暴风之钢【仿品】
"Replica Innsbury Edge",英斯贝理之极【仿品】
"Replica Last Resort",终息【仿品】
"Replica Heartbreaker",裂心刃【仿品】
"Replica Dreamfeather",幻梦飞羽【仿品】
"Replica Earendel's Embrace",叶兰德尔的拥抱【仿品】
"Replica Oro's Sacrifice",欧罗的贡品【仿品】
"Replica Tulfall",托沃卧【仿品】
"Replica Blood Thorn",血棘【仿品】
"Replica Advancing Fortress",超越壁垒【仿品】
"Replica Allure",魅惑【仿品】
"Replica Frostbreath",霜息【仿品】
"Replica Trypanon",裂颅【仿品】
"Replica Duskdawn",宵晓【仿品】
"Replica Fencoil",绿藤【仿品】
"Replica Twyzel",峡湾之星【仿品】
"Replica Midnight Bargain",冥约【仿品】
"Replica Kongor's Undying Rage",康戈的战炎【仿品】
"Replica Nebulis",内布利斯【仿品】
"Replica Wings of Entropy",乱世之翼【仿品】
"Replica Infractem",穿云【仿品】
"The Hidden Blade",隐匿之刃
"The Fulcrum",支点
"Demigod's Authority",半神的权威
Goblinedge,地精边缘
"Cane of Kulemak",库勒马克藤杖
"Atziri's Rule",阿兹里的统治
"Yaomac's Accord",夭马克的协定
"Relic of the Pact",协约的遗物
"The Annihilating Light",摧残之光
"The Gluttonous Tide",贪婪之潮
"Rory's Revengance",罗里的复仇之途
"Mark2's Mastery",马克的精锐战意
"Robbie's Rotten Mace",罗比的腐败钉锤
"Carl's Crusher",卡尔的破坏者
"Maligaro's Etcher",马雷格罗的刻具
"The Winds of Fate",命运之风
Echoforge,回声锻炉
"Coiled Wand",盘曲法杖
Widowhail,遗孀之雹
"The Geomantic Gyre",运势之环
"The Redblade",红刃
"Maata's Teaching",玛塔之指教
"Rakiata's Dance",拉其塔之舞
"Ethereal Bow",虚灵之弓
"The Burden of Shadows",暗影的重负
Nametaker,掳名之锋
"Grace of the Goddess",女神的恩典
"Crude Claw",粗制利爪
"Pict Claw",绘彩利爪
"Wolfbone Claw",狼骨利爪
"Forked Claw",分叉利爪
"Plated Claw",护板利爪
"Edged Claw",锋刃利爪
"Arced Claw",弧形利爪
"Hooked Claw",钩齿利爪
"Razorglass Claw",琉锋利爪
"Armoured Claw",重装利爪
"Piercing Claw",洞穿利爪
"Talon Claw",猛禽利爪
"Crone Knife",巫妪小刀
"Simple Dagger",朴实匕首
"Moon Dagger",月刃匕首
"Engraved Knife",雕纹小刀
"Obsidian Dagger",黑曜石匕首
"Bloodletting Dagger",放血匕首
"Mail Breaker",拆信刀
"Kris Knife",波刃小刀
"Parrying Dagger",格挡匕首
"Arcane Dirk",秘术短匕
Cinquedea,五指剑
"Withered Wand",凋零法杖
"Bone Wand",钙石法杖
"Attuned Wand",调谐法杖
"Siphoning Wand",虹吸法杖
"Volatile Wand",易变法杖
"Galvanic Wand",电流法杖
"Acrid Wand",刻薄法杖
"Offering Wand",供奉法杖
"Frigid Wand",严寒法杖
"Torture Wand",煎熬法杖
"Critical Wand",批判法杖
"Primordial Wand",始源法杖
"Dueling Wand",决斗法杖
Shortsword,短剑
Broadsword,阔剑
"Vampiric Blade",喋血之刃
Scimitar,弯刀
"Charred Shortsword",焦痕短剑
"Sickle Sword",镰刃剑
Falchion,弯刃大刀
"Treasured Blade",珍奇之刃
"Runic Shortsword",符文短剑
Messer,大砍刀
"Commander Sword",统帅利剑
"Dark Blade",黑暗之锋
"Dull Hatchet",钝锋手斧
"Hook Axe",钩斧
"Bearded Axe",钩刃斧
"Extended Cleaver",长柄战斧
"Bandit Hatchet",盗匪手斧
"Crescent Axe",月牙斧
"Carving Hatchet",刨肉手斧
"Sacrificial Axe",奉献之斧
"Boarding Hatchet",跳帮手斧
"Fury Cleaver",暴怒战斧
"Battle Axe",鏖战之斧
"Profane Cleaver",亵渎战斧
"Dread Hatchet",恐惧手斧
"Wooden Club",木棒
"Smithing Hammer",锻铸之锤
"Slim Mace",细柄钉锤
Warpick,战镐
"Plated Mace",板锤
"Brigand Mace",强盗之锤
"Construct Hammer",施工锤
"Jade Club",翠玉战棒
"Lumen Mace",流明之锤
"Execratus Hammer",秽咒之锤
"Torment Club",劫难战棒
"Kalguuran Forgehammer",卡古兰锻造锤
"Calescent Hammer",升温之锤
"Flared Mace",耀焰之锤
"Battle Pick",战镐
"Marching Mace",行军之锤
"Bandit Mace",强盗之锤
"Structured Hammer",构造之锤
"Crown Mace",冠首之锤
"Molten Hammer",熔火之锤
"Strife Pick",纷争之镐
"Fortified Hammer",强固之锤
"Marauding Mace",劫掠之锤
"Akoyan Club",阿科扬战棒
Shortbow,短弓
"Warden Bow",监守弓
"Dualstring Bow",双弦弓
"Cultist Bow",教徒弓
"Zealot Bow",狂热弓
"Artillery Bow",轰击弓
"Tribal Bow",部族弓
Greatbow,巨弓
"Double Limb Bow",双臂弓
"Heavy Bow",重装强弓
"Snakewood Shortbow",蛇纹短弓
"Protector Bow",保护者之弓
"Rider Bow",骑射之弓
"Twin Bow",双生之弓
"Adherent Bow",联排之弓
"Militant Bow",军用战弓
"Ironwood Shortbow",铁木短弓
"Cavalry Bow",骑兵之弓
"Guardian Bow",守护者之弓
"Gemini Bow",双子之弓
"Fanatic Bow",狂热之弓
"Warmonger Bow",寻战之弓
"Obliterator Bow",毁灭者之弓
"Ashen Staff",枯灰长杖
"Gelid Staff",冰寒长杖
"Voltaic Staff",雷霆长杖
"Spriggan Staff",鬼灵长杖
"Pyrophyte Staff",耐火长杖
"Chiming Staff",鸣谐长杖
"Rending Staff",撕裂长杖
"Reaping Staff",收割长杖
"Icicle Staff",冰柱长杖
"Roaring Staff",咆哮长杖
"Paralysing Staff",麻痹长杖
"Sanctified Staff",神圣长杖
"Dark Staff",暗黑长杖
"Ravenous Staff",饕餮法杖
"Permafrost Staff",永霜法杖
"Corroded Longsword",锈斑长剑
"Iron Greatsword",钢铁巨剑
"Blessed Claymore",蒙福大剑
"Broad Greatsword",阔刃巨剑
"Rippled Greatsword",波纹巨剑
"Arced Longsword",弧刃长剑
"Stone Greatsword",磐石巨剑
"Obsidian Greatsword",黑曜巨剑
"Keen Greatsword",寒芒巨剑
"Ancient Greatblade",上古巨剑
"Flanged Greatblade",焰刃巨剑
"Regalia Longsword",君威长剑
"Ultra Greatsword",超凡巨剑
"Splitting Greataxe",裂刃大斧
"Light Halberd",轻装戟斧
"Executioner Greataxe",惩罚者大斧
"Arched Greataxe",弧刃大斧
"Elegant Glaive",典雅战刃
"Savage Greataxe",狂放大斧
"Rending Halberd",裂肉戟斧
"Jagged Greataxe",锯齿大斧
"Reaver Glaive",掠夺者战刃
"Ember Greataxe",飞烬大斧
"Ceremonial Halberd",祭仪长戟
"Monument Greataxe",丰碑大斧
"Vile Greataxe",厄难大斧
"Felled Greatclub",伐采巨棍
"Oak Greathammer",橡木大锤
"Forge Maul",锻炉巨锤
"Studded Greatclub",镶钉巨棍
"Cultist Greathammer",教徒大锤
"Temple Maul",神殿巨锤
"Leaden Greathammer",灌铅大锤
"Crumbling Maul",摧枯巨锤
"Pointed Maul",钉头巨锤
"Totemic Greatclub",图腾巨棍
Greatmace,狼牙巨锤
"Precise Greathammer",精准大锤
"Giant Maul",伟岸巨锤
"Snakewood Greathammer",蛇纹大锤
"Blacksmith Maul",锻造巨锤
"Zealot Greathammer",狂热大锤
"Solemn Maul",肃穆巨锤
"Heavy Greathammer",沉重大锤
"Disintegrating Maul",破军巨锤
"Anvil Maul",铁砧巨锤
"Sacred Maul",神圣巨锤
