" Abyss"," 深淵"
" Mission","  使命"
" Colony","  殖民"
" Outpost","  前哨"
" Mandate","  授權"
" Territory",地盤
" Lands","  土地"
" Excavation","  挖掘"
" Tale","  故事"
" Saga","  佐賀"
" Myth","  神話"
" Ballad","  民謠"
" Folktale","  民間故事"
" Rite",儀式
" Challenge",挑戰
" Provocation",挑釁
" Instigation",唆使
" Incitement",煽動
" Invocation",祈願
" Liturgy",禮拜
" Inscription",銘文
" Inferno"," 煉獄"
" Caldera"," 炎口"
" Volcano"," 火山"
" Lahar"," 火山泥流"
" Magma"," 熔岩"
" Firestorm"," 列炎峰報"
" Zenith",巔峰
" Nadir",谷底
" District",區域
" Cavern",洞穴
" Filth",污垢
" Clearing",空地
" Sands",巢穴
" Lair",空心
" Hollow",畫廊
" Gallery",巢穴
" Den",藏身處
" Hideaway",泥潭
" Mire",水池
" Pool",海灣
" Gulf",泉水
" Spring",攀爬
" Climb",範圍
" Range",領域
" Realm",草皮
" Turf",河岸
" Bank",林地
" Glade",風景
" Landscape",懸崖
" Bluff",一片
" Swathe",大塊
" Mass",碎石
" Rubble",場地
" Grounds",巨石
" Monolith",庭院
" Corridors",走廊
" Alcove",凹室
" Estate",莊園
" Crossroads",十字路口
" Morass",泥沼
" Sludge",淤泥
" Course",航向
" Path",路徑
" Compass",羅盤
" Crosscut",橫切
" Direction",方向
" Navigation",導航
" Route",路線
" Trajectory",軌跡
" Bearings",方位角
" Intent",意圖
" Vector",向量
" Control",控制
" Charge",能量球
" Progression",進展
" Order",秩序
" Choice",選擇
" Resolve",決心
" Determination",決意
" Gambit",策略
" Carving",雕刻
" Full DPS",完整秒傷
" Combined DPS",綜合秒傷
" Hit DPS",擊中秒傷
" Impale + Hit DPS","穿體 + 擊中秒傷"
" Average Hit",平均擊中傷害
" DoT DPS",持續秒傷
" Bleed DPS",流血秒傷
" Ignite DPS",點燃秒傷
" Poison DPS",中毒秒傷
" Life",生命
" Life regen",生命回復
" life leech",生命偷取
" Armour",護甲
" Evasion",閃避
" Energy Shield",能量護盾
" Recoverable ES",可恢復的能盾
" Energy Shield regen",能量護盾回復
" Energy Shield leech",能量護盾偷取
" Mana",魔力
" Mana regen",魔力回復
" Mana leech",魔力偷取
" Strength",力量
" Dexterity",敏捷
" Intelligence",智慧
" Total Attributes",總能力值
" Melee avoid chance",避免近戰傷害機率
" Spell Avoid chance",避免法術傷害機率
" Projectile Avoid chance",避免投射傷害機率
" Effective Hit Pool",有效擊中血池
" Eff. Maximum Hit Taken",承受有效大傷
" Taken Phys dmg",承受物理傷害
" Taken Lightning dmg",承受閃電傷害
" Taken Cold dmg",承受冰凍傷害
" Taken Fire dmg",承受火焰傷害
" Taken Chaos dmg",承受混沌傷害
" Crit Chance",暴擊率
" Crit Multiplier",暴擊傷害
" Bleed Chance",流血機率
" Freeze Chance",冰凍機率
" Ignite Chance",點燃機率
" Shock Chance",感電機率
" Move Speed",移動速度
" Block Chance",格擋率
" Spell Block Chance",法術格擋機率
" Spell Suppression Chance",法術壓抑機率
" Lake",迷湖
" Strip",剝奪
" Fen",沼地
" Harbor",港口
" Oasis",綠洲
" Delta",三角洲
" Lagoon",潟湖
" Bay",海灣
" Coast",海岸
" Slough",泥沼
" Retreat",隱居所
" Inlet",水道
" Sandbar",沙洲
" Bayou",河口
" Muck",爛泥地
" Backwater",滯水
" Tundra",苔原
" Savanna",稀樹草原
" Steppe",乾草原
" Wilderness",荒野
" Highlands",高地
" Valley",谷地
" Wasteland",荒地
" Ruins",遺跡
" Tendon",筋腱
" Phalange",指骨
" Gesture",手勢
" Husk",殼身
" Blaze",烈焰
" Pyre",葬火
" Cinder",焦炭
" Furnace",熔爐
" Kiln",火窯
" Torus",火環
" Eclipse",蝕影
" Obsidian",黑曜
" Coal",煤核
" Agony",苦痛
" Surge",奔湧
" Discharge",釋放
" Thought",思緒
" Impulse",衝動
" Epiphany",靈光
" Slave",奴役
" Curiousity",好奇
" Envy",妒念
" Repose",安眠
" Undeath",不死
" Dormancy",蟄伏
" Inertia",惰性
" Trance",恍惚
" Coma",昏厥
" Submersion",沉溺
" Isolation",孤寂
" Prison",囚牢
" Eternity",永劫
" Confinement",禁錮
" Mother",母祀
" Womb",子宮
" Dust",塵末
" Pursuit",追獵
" Anticipation",渴望
" Surrender",臣服
" Kiss",親吻
" Embrace",擁抱
" Shift",轉化
" Mimic",模仿
" Howl",嚎叫
" Spirit",精魂
" Command",號令的
" Edict",戒律的
" Commandment",發號施令的
" Decree",旨意的
" Directive",標地的
" Injunction",禁令的
" Precept",訓誡的
" Dictate",主宰的
" Law",律法的
" Judgment",審判的
" Project",計畫的
" Design",設計的
" Terraform",改造的
" Grind",研磨
" Hustle",奔波
" Toil",辛勞
