"Iron Gauntlets",鐵鍛護手
"Golden Wreath",金黃花環
"Golden Visage",黃金頭飾
"Bone Helmet",喚骨頭盔
"Runic Helm",魔符頭飾
"Runic Crest",魔符之冠
"Runic Crown",魔符皇冠
"Ambu's Charge",安姆布的戰甲
Ashrend,拂燼
"Belly of the Beast",獸腹
Bramblejack,刺棘寶甲
Briskwrap,荒途
"Bronn's Lithe",布隆的影衣
"Carcass Jack",致命之體
"Cloak of Flame",烈炎之袍
"Cloak of Defiance",衛道之袍
"The Covenant",血誓
"Daresso's Defiance",德瑞索的衛衣
"Death's Oath",冥使之體
Foxshade,狐毛鎧
"Hyrri's Ire",西里的戰衣
Icetomb,冰息
"Incandescent Heart",烈炎之心
"Infernal Mantle",煉獄之心
"Kaom's Heart",岡姆的壯志
"Lightbane Raiment",魔道之衣
"Lightning Coil",雷語
"Queen of the Forest",森林之后
"Shavronne's Wrappings",薛朗的護身長袍
"Solaris Lorica",烈陽鎧
"Soul Mantle",祖靈之約
"Tabula Rasa",無盡之衣
"Thousand Ribbons",千縷
"Vis Mortis",兀鳴
"Voll's Protector",福爾的戰鎧
"Zahndethus' Cassock",札德圖斯的聖衣
"Alberon's Warpath",阿爾貝隆的征途
"Atziri's Step",阿茲里的金履
"The Blood Dance",血影
"Bones of Ullr",烏勒爾之骨
"Darkray Vectors",暗雷
Deerstalker,獵蹤
"Demigod's Stride",昇華之途
Dusktoe,迎暮
Goldwyrm,龍炎足跡
"Lioneye's Paws",獅眼的鬥志
"Victario's Flight",維多里奧的飛昇
Rainbowstride,虹幕
"Shavronne's Pace",薛朗的秘術長靴
"Sin Trek",敏銳思維
Sundance,日耀
"Wake of Destruction",覆滅之兆
Wanderlust,苦行之履
Windscream,惡風足跡
Wondertrap,迴光之跡
"Asenath's Gentle Touch",安賽娜絲的安撫之語
"Atziri's Acuity",阿茲里的捷思
Aurseize,富貴之運
"Demigod's Touch",昇華之指
"Meginord's Vise",梅吉諾德的巨力腕甲
"Doedre's Tenure",德瑞的精神手套
Facebreaker,毀面者
Voidbringer,虛空之力
Hrimsorrow,冰冷之眼
"Lochtonial Caress",意識之緣
"Maligaro's Virtuosity",馬雷葛蘿的血染手套
"Ondar's Clasp",恩德的迅影
"Sadima's Touch",獵寶者的護手
"Shackles of the Wretched",悲運之縛
Slitherpinch,蒼蟒之鱗
Snakebite,蝮吻
Thunderfist,轟天雷
"Vaal Caress",瓦爾的靈手
Abyssus,深淵之喚
"Alpha's Howl",極地之嗥
"Asenath's Mark",安賽娜絲的迅敏之冠
"The Bringer of Rain",祭禮之雨
"Chitus' Apex",切特斯的威權
"Crown of Eyes",邪眼之冠
"Crown of Thorns",刺棘之冠
Deidbell,喪鐘
"Demigod's Triumph",昇華之冠
"Devoto's Devotion",德沃托的信念之盔
"Ezomyte Peak",艾茲麥的榮光
"Fairgraves' Tricorne",費爾之帽
"Geofri's Crest",吉爾菲的榮光
Goldrim,金縷帽
"The Gull",鷗喙
Heatshiver,寒焰
Honourhome,私慾的光輝
"Hrimnor's Resolve",雷姆諾的豪情
"Leer Cast",共鳴之面
"Malachai's Simula",瑪拉凱的祭具
Mindspiral,靈漩
"The Peregrine",疾風的沉思
"Rat's Nest",鼠巢
"Rime Gaze",酷寒的凝視
Skullhead,光輝之顱
"Starkonja's Head",斯塔空加之首
"The Three Dragons",三龍戰紀
"Veil of the Night",夜幕
"The Vertex",謎容
"Atziri's Splendour",阿茲里的威權
"Kaom's Roots",岡姆的穩重之靴
"Flesh and Spirit",肉體與魂靈
"Shadows and Dust",沙塵之影
"Gang's Momentum",剛勇
"Cherrubim's Maleficence",薛魯賓的惡作劇
"Null and Void",虛空
"Nomic's Storm",諾米克的風暴
"Scold's Bridle",禁語
"The Broken Crown",缺角帝冠
"The Rat Cage",疫鼠囚籠
"Greed's Embrace",貪婪之擁
"Tear of Entropy",亂世之淚
"Black Sun Crest",黑陽之冠
"Empire's Grasp",帝國之掌
"Lioneye's Vision",獅眼的視線
"Doedre's Scorn",德瑞的蔑視
Southbound,南方
"The Restless Ward",無盡之衛
Repentance,悔悟之掌
Kingsguard,皇家衛甲
Ironweld,鐵芒
Ghostmarch,鬼行
"Deadman's Hand",枯萎之手
"Vizaru's Folly",維札盧的不堪往事
"Kalisa's Grace",卡莉莎的優雅之影
"Arimagius' Honor",志士的榮耀之心
Wurmfist,崩石
"Dewath's Hide",德瓦斯的匿蹤
"Doryani's Fist",多里亞尼之拳
"Crown of the Pale King",殞皇之冠
Surgebinders,浪湧縛者
"Victario's Influence",維多里奧之絕響
"Brinerot Whalers",布琳洛特岸行者
"Mutewind Whispersteps",啞風輕步
"Redblade Tramplers",紅刃蹂躪靴
"Ylfeban's Trickery",伊芙班的詭計
"Steppan Eard",絕地魔履
"Winds of Change",昇華之風
Skyforth,空向
"Demigod's Dominance",昇華統御
Wyrmsign,龍族印記
"Geofri's Sanctuary",吉爾菲的聖殿
"Seven-League Step",盟誓之跡
"Heretic's Veil",異教面紗
"Viper's Scales",毒蛇之度
"The Beast Fur Shawl",獸毛披肩
"Cloak of Tawm'r Isley",陶米兒艾斯理之袍
"Veruso's Battering Rams",維盧梭攻城槌
"Three-step Assault",三步突擊
"Cospri's Will",卡斯普里意志
"Wall of Brambles",荊棘之牆
Kintsugi,金繕
"Shavronne's Gambit",薛朗的詭計
"Ezomyte Hold",艾茲麥之握
Deidbellow,喪吼
"Martyr's Crown",烈士之冠
Hrimburn,李姆本
"Death's Door",死亡大門
"Grip of the Council",議會之握
"Mind of the Council",議會之心
Spiritskin,精神之膚
Tinkerskin,焊匠之膚
Rumblemarch,奮勇進軍
"The Brass Dome",堅銅戰罩
"Kitava's Thirst",奇塔弗之渴望
Obscurantis,朦朧詭面
Voidwalker,虛空行者
"Shaper's Touch",塑者之觸
"The Formless Flame",無形火炬
"The Formless Inferno",無形煉獄
"Voll's Vision",福爾的遠見
"The Infinite Pursuit",無盡之距
"The Red Trail",赤紅蹤跡
"Malachai's Vision",瑪拉凱的遠見
"The Snowblind Grace",雪盲恩惠
"The Perfect Form",完美姿態
"Skin of the Loyal",忠誠之膚
"Skin of the Lords",君主之膚
"The Brine Crown",海王冠冕
"Gruthkul's Pelt",葛魯斯寇真皮
"Abberath's Hooves",艾貝拉斯之蹄
"Garukhan's Flight",卡洛翰之影
"The Baron",男爵
Haemophilia,逆凝之血
"Ahn's Contempt",漢恩的蔑視
"Prospero's Vault",普洛斯彼羅金庫
"Speaker's Wreath",預言家桂冠
"Inya's Epiphany",茵雅的頓悟
"Volkuur's Guidance",福庫爾的指引
"The Coming Calamity",災難臨頭
"Eber's Unification",希伯的統治
"Yriel's Fostering",伊瑞的栽培
"The Tempest's Binding",風暴的拘束
Dendrobate,箭毒蛙
Allelopathy,相生相剋
"The Embalmer",福馬林
"Dialla's Malefaction",達拉的罪刑
"Malachai's Mark",瑪拉凱之面
Stormcharger,暴充
Wraithlord,憤靈郡主
Giantsbane,大屠殺
"Inpulsa's Broken Heart",印卜薩的心碎
"Memory Vault",回憶寶庫
"Doedre's Skin",德瑞之膚
"Ralakesh's Impatience",芮勒蓋許的急躁
"Bubonic Trail",布巴尼克的線索
Oskarm,厄斯根
Bloodbond,血肉結合
"Blasphemer's Grasp",褻瀆者之握
Lightpoacher,光明獵盜者
Tombfist,陵拳
"Shroud of the Lightless",晦暗的屍布
"Craiceann's Chitin",奎爾珊畸面
"Craiceann's Pincers",奎爾珊堅鉗
"Craiceann's Tracks",奎爾珊之跡
"Craiceann's Carapace",奎爾珊硬甲
Greedtrap,貪婪之跡
"Fox's Fortune",狐毛之富
"Gorgon's Gaze",戈耳戈的凝視
"Doedre's Malevolence",德瑞的惡意
"Farrul's Fur",費爾羅羽衣
"Fenumus' Shroud",菲恩絲魘甲
"Saqawal's Winds",斯卡沃之翼
Windshriek,風嘯
Indigon,地印之環
"Farrul's Bite",費爾羅咥喙
"Farrul's Pounce",費爾羅鋒爪
"Farrul's Chase",費爾羅獵靴
"Saqawal's Nest",斯卡沃之巢
"Saqawal's Talons",斯卡沃鷹爪
"Saqawal's Flock",斯卡沃之徒
"Fenumus' Toxins",菲恩絲獠牙
"Fenumus' Weave",菲恩絲夜織
"Fenumus' Spinnerets",菲恩絲刺靴
"Chains of Command",統帥之鏈
"Mark of the Red Covenant",焰首支環
Loreweave,智者織衫
Sunspite,日咒
Wildwrap,野變
"Crystal Vault",水晶寶庫
Frostferno,霜獄
"Malachai's Awakening",瑪拉凱的覺醒
Duskblight,日落破滅
"Asenath's Chant",安賽娜絲的歌頌
"Meginord's Vigour",梅吉諾德的朝氣
Honourhold,榮耀之欲
"Mask of the Spirit Drinker",魂飲化面
"Slavedriver's Hand",奴役之手
"Mask of the Stitched Demon",惡縫之面
"Dance of the Offered",奉獻之舞
Omeyocan,歐門悠根
"Architect's Hand",構築之手
Shadowstitch,縫影
"Command of the Pit",闇核號令
"Crown of the Tyrant",堂皇冠冕
"Demon Stitcher",縫魔
"Doryani's Delusion",多里亞尼的幻想
"Geofri's Legacy",吉爾菲的遺產
"Curtain Call",華麗閉幕
"The Iron Fortress",鋼鐵壁壘
"Hale Negator",強彈辯駁
Lawbreaker,破法者
"Ullr's Advent",烏勒爾之誕
Worldcarver,巧奪天工
"The Devouring Diadem",吞噬之冠
Flamesight,炎視
"The Queen's Hunger",女王的渴望
Farsight,遠視
Galesight,風視
Thundersight,雷視
Waycarver,刻劃精工
"Storm's Gift",風暴之贈
"The Eternity Shroud",永恆屍布
"Vixen's Entrapment",雌狐的圈套
"Mask of the Tribunal",審判莊嚴
"March of the Legion",軍閥行軍
"Offering to the Serpent",蛇皮獻祭
"Garb of the Ephemeral",無常禮袍
"Demigod's Immortality",昇華不朽
"Aukuna's Will",奧庫納之意
"Maw of Conquest",雛鳥之征
"Wreath of Phrecia",費西亞之環
"Fractal Thoughts",異想
"The Stampede",潰逃之靴
"Triad Grip",三弦指法
"Machina Mitts",詭計魔手
"Torchoak Step",火柳之步
"Cowl of the Cryophile",酷寒斗篷
"Rotting Legion",腐敗軍團
"Cowl of the Thermophile",嗜炎斗篷
"Cowl of the Ceraunophile",狂雷斗篷
Breathstealer,偷息
Sporeguard,毒孢守衛
"Hands of the High Templar",聖宗神手
"Crown of the Inward Eye",暗眼之冠
"The Ivory Tower",象牙塔
Painseeker,尋苦
"Eye of Malice",邪眼
Perfidy,背信忘義
"Algor Mortis",阿爾戈．莫堤斯
Assailum,刺殺
"Beacon of Madness",瘋癲之引
Battlehaste,迅戰
"Doryani's Prototype",多里亞尼之型
"Abhorrent Interrogation",悖逆審訊
"Great Old One's Tentacles",偉大老者之觸
Fleshcrafter,人體匠師
"The Tempest's Liberation",暴雨之解放
"Forbidden Shako",禁忌軍帽
"Plume of Pursuit",追逐之羽
"Usurper's Penance",篡位者的懺悔
Corpsewalker,行屍走肉
"Replica Lioneye's Paws",贗品．獅眼的鬥志
"Replica Abyssus",贗品．深淵之喚
"Replica Atziri's Acuity",贗品．阿茲里的捷思
"Replica Kalisa's Grace",贗品．卡莉莎的優雅之影
"Replica Ambu's Charge",贗品．安姆布的戰甲
"Replica Shroud of the Lightless",贗品．晦暗的屍布
"Maw of Mischief",頑皮裂齒獸
"Replica Kaom's Heart",贗品．岡姆的壯志
"Expedition's End",遠征之盡
"Replica Perfect Form",贗品．完美姿態
"Replica Loreweave",贗品．智者織衫
"Replica Three-step Assault",贗品．三步突擊
"Replica Allelopathy",贗品．相生相剋
"Replica Alpha's Howl",贗品．極地之嗥
"Replica Forbidden Shako",贗品．禁忌軍帽
"Replica Restless Ward",贗品．無盡之衛
"Replica Farrul's Fur",贗品．費爾羅羽衣
"Replica Eternity Shroud",贗品．永恆屍布
"Replica Alberon's Warpath",贗品．阿爾貝隆的征途
"Replica Stampede",贗品．潰逃之靴
"Replica Voidwalker",贗品．虛空行者
"Replica Grip of the Council",贗品．議會之握
"Replica Volkuur's Guidance",贗品．福庫爾的指引
"Replica Leer Cast",贗品．共鳴之面
Willclash,意志衝突
"Replica Red Trail",贗品．赤紅蹤跡
"Replica Bones of Ullr",贗品．烏勒爾之骨
"Replica Inya's Epiphany",贗品．茵雅的頓悟
"Replica Veil of the Night",贗品．夜幕
"Mercenary's Lot",僱用兵之命
Blunderbore,失誤之孔
"The Admiral",上將
"Crest of Desire",慾望之冠
"The Fledgling",幼雛
"Legacy of Fury",傳承憤怒
"Hand of the Fervent",熱情之手
"Ancient Skull",遠古骷髏
"Viridi's Veil",維里迪的薄紗
"Doppelgänger Guise",達佩爾甘格偽裝
"Glimpse of Chaos",混沌一瞥
Hateforge,怨恨鍛造
"Temptation Step",誘惑步伐
Faithguard,信仰守護
"Cadigan's Crown",卡迪根皇冠
Nightgrip,夜之觸
"Medved's Challenge",梅德偉的挑戰
"Vorana's March",沃拉娜的軍隊
"Olroth's Charge",奧爾羅斯的衝刺
"Stasis Prison",靜止牢籠
Gravebind,幽墓束縛
"Sudden Dawn",黎明驟起
"Ceaseless Feast",無盡盛宴
"Inextricable Fate",無法掙脫之命
"Black Zenith",漆黑極頂
"Echoes of Creation",創造迴聲
"Kaom's Spirit",岡姆之魂
"Soul Ascension",靈魂昇華
Ghostwrithe,鬧鬼
Thrillsteel,顫慄之鋼
Elevore,愛勒弗
"Annihilation's Approach",殲滅的方法
"Entropic Devastation",熵毀滅
Dawnstrider,晨行者
"Sandstorm Visage",沙瀑面紗
"Wilma's Requital",威爾瑪的報復
Stormseeker,風暴千尋
"Blood Price",血償
"El'Abin's Visage",伊蘭雅本的面紗
"Tanu Ahi",埋火
"The Fourth Vow",第四誓願
"Orbala's Stand",奧爾巴拉的姿態
"Kahuturoa's Certainty",卡胡圖羅亞的確信
"Utula's Hunger",烏圖拉的飢餓
"Akoya's Gaze",艾古亞的凝視
"The Trickster's Smile",戲法師的微笑
Pragmatism,實用主義
"Replica Covenant",贗品．血誓
Gamblesprint,豪賭
"Replica Heatshiver",贗品．寒焰
"Replica Hyrri's Ire",贗品．西里的戰衣
"The Celestial Brace",眾星援護
"Ravenous Passion",貪婪的激情
"The Hand of Phrecia",費西亞之手
"Veruso's Ambition",維盧梭的野心
"The Apostate",叛教者
"The Devourer of Minds",心靈吞噬者
"The Tempest Rising",風暴崛起
"Precursor Gauntlets",先行者護手
"Leviathan Gauntlets",海獸護手
"Preserving Gauntlets",庇護手套
"Guarding Gauntlets",保衛手套
"Thwarting Gauntlets",阻擾手套
"Harpyskin Gloves",妖羽皮手套
"Velour Gloves",絲絨手套
"Tinker Gloves",修補匠手套
"Apprentice Gloves",學徒手套
"Trapsetter Gloves",設陷者手套
"Sage Gloves",哲人手套
"Warlock Gloves",術士手套
"Chimerascale Gauntlets",龍蜥鱗護手
"Wyvernscale Gauntlets",飛龍鱗護手
"Martyr Gloves",烈士手套
"Paladin Gloves",聖騎士手套
"Infiltrator Mitts",滲透者護手
"Phantom Mitts",魅影護手
"Precursor Greaves",先行者脛甲
"Leviathan Greaves",海獸脛甲
"Harpyskin Boots",妖羽皮短靴
"Velour Boots",絲絨長靴
"Sage Slippers",哲人便鞋
"Warlock Boots",術士長靴
"Chimerascale Boots",龍蜥鱗長靴
"Wyvernscale Boots",飛龍鱗長靴
"Martyr Boots",烈士長靴
"Paladin Boots",聖騎士長靴
"Infiltrator Boots",滲透者長靴
"Phantom Boots",魅影長靴
"Titan Plate",泰坦之鎧
"Legion Plate",戰亂之鎧
"Royal Plate",皇家之鎧
"Supreme Leather",至高皮甲
"Astral Leather",星際皮甲
"Syndicate's Garb",密教束衣
"Arcane Vestment",奧術長衣
"Nightweave Robe",夜織之袍
"Twilight Regalia",暮光法衣
"Full Wyvernscale",全套龍鱗甲
"Marshall's Brigandine",元帥鎧甲
"Conquest Lamellar",征戰薄甲
"Grand Ringmail",宏偉環甲
"Paladin's Hauberk",聖騎士長甲
"Sacred Chainmail",神聖鎖甲
"Sanguine Raiment",樂觀之衣
"Torturer Garb",刑求束衣
"Necrotic Armour",亡者護甲
"General's Helmet",將軍的頭盔
"Conqueror's Helmet",征服者的頭盔
"Giantslayer Helmet",巨人殺手頭盔
"Dire Pelt",恐懼皮盔
"Grizzly Pelt",灰熊皮盔
"Majestic Pelt",莊嚴皮盔
"Moonlit Circlet",月光之冠
"Sunfire Circlet",陽炎之冠
"Lich's Circlet",巫妖之冠
"Knight Helm",騎士之盔
"Conquest Helmet",征戰頭盔
"Haunted Bascinet",鬧鬼戰盔
"Faithful Helmet",信仰頭盔
"Paladin Crown",聖騎士之冠
"Divine Crown",神聖之冠
"Jester Mask",小丑面具
"Ancient Mask",遠古面具
"Torturer's Mask",刑求面具
"Admiral's Arrogance",將軍的傲慢
"Kaom's Command",岡姆的命令
"Stocky Mitts",結實長手套
"Riveted Mitts",鉚接長手套
